sentence_index,word_count,accuracy(1=correct),reverse_study_time/sec,user_id_from_FOWARD_study,r_user_id_from_REVERSE_study,perspective_ambiguity,block_ambiguity
493,12,1,15.409351,243,263,ambiguous,2
831,29,1,12.40419,221,398,agent,1
143,5,0,9.772394,26,471,ambiguous,2
517,12,1,7.922846,242,325,ambiguous,1
958,10,1,5.887344,230,124,neither,1
1253,25,1,11.680438,73,532,ambiguous,2
41,54,1,18.788469,215,226,neither,1
771,31,1,8.134298,93,4,ambiguous,1
773,10,1,2.22305,93,4,neither,1
942,31,1,8.108568,234,146,ambiguous,4
317,12,1,6.688416,89,279,agent,1
1316,16,1,80.676381,78,132,agent,1
1170,15,0,4.314737,209,241,neither,3
1171,17,1,11.304575,209,241,ambiguous,1
779,17,1,1.999764,93,4,neither,1
454,20,1,7.603149,244,220,ambiguous,2
100,21,1,12.267386,227,220,ambiguous,1
34,22,1,7.288014,215,260,neither,1
174,13,0,6.474051,21,239,neither,4
1047,10,1,2.992165,41,280,neither,1
924,6,1,10.13534,18,456,ambiguous,2
1358,24,0,22.366454,914,168,ambiguous,3
881,14,1,11.806939,12,145,ambiguous,2
482,16,1,6.738397,240,570,agent,1
1134,7,1,6.789231,205,162,user,1
915,10,1,2.983637,18,478,neither,1
99,15,0,36.133005,227,372,ambiguous,2
501,11,0,26.562798,243,464,ambiguous,2
321,14,1,10.467527,89,128,ambiguous,2
185,24,1,11.211033,22,513,agent,1
451,17,1,6.920796,244,538,agent,1
884,16,1,7.57782,14,283,agent,1
705,13,1,13.772473,99,113,agent,1
704,16,0,11.064539,99,113,ambiguous,2
947,10,0,32.549936,234,241,neither,1
975,38,1,55.611672,232,170,agent,1
1443,25,1,4.860857,900,467,neither,1
6,7,1,16.253631,216,457,ambiguous,4
1517,20,0,17.283822,908,1,ambiguous,2
884,16,1,7.529474,14,332,agent,1
405,15,0,9.068854,84,109,ambiguous,2
669,8,1,6.505294,69,331,neither,1
474,9,0,3.61579,241,431,neither,1
1454,18,1,8.377252,900,583,agent,1
992,22,0,38.432545,233,273,agent,2
636,6,1,8.990158,67,453,ambuguous,2
459,20,0,24.155693,244,368,ambiguous,2
252,7,1,5.75872,4,316,neither,1
893,17,1,11.696814,14,136,agent,1
1213,19,1,10.553989,76,515,ambiguous,1
338,8,1,3.896813,80,7,neither,1
71,12,1,17.881492,211,607,agent,1
73,30,0,39.009853,211,607,agent,3
